temperature,humidity,number of people,result
7,50,52.94,ощутимо прохладная
7,55,52.94,ощутимо прохладная
7,60,52.94,ощутимо прохладная
7,65,51.97,ощутимо прохладная
7,70,52.46,промозглая
7,75,52.94,промозглая
7,80,52.94,промозглая
7,85,52.94,промозглая
7,90,52.94,промозглая
7,95,52.94,промозглая
7,100,52.94,промозглая
8,0,54.81,комфортно прохладная
8,5,54.81,комфортно прохладная
8,10,54.81,комфортно прохладная
8,15,54.81,комфортно прохладная
8,20,54.81,комфортно прохладная
8,25,51.97,ощутимо прохладная
8,30,51.97,ощутимо прохладная
8,35,51.97,ощутимо прохладная
8,40,51.97,ощутимо прохладная
8,45,51.97,ощутимо прохладная
8,50,51.97,ощутимо прохладная
8,55,51.97,ощутимо прохладная
8,60,51.97,ощутимо прохладная
8,65,51.97,ощутимо прохладная
8,70,51.97,промозглая
8,75,51.97,промозглая
8,80,51.97,промозглая
8,85,51.97,промозглая
8,90,51.97,промозглая
8,95,51.97,промозглая
8,100,51.97,промозглая
9,0,52.46,комфортно прохладная
9,5,52.46,комфортно прохладная
9,10,52.46,комфортно прохладная
9,15,52.46,комфортно прохладная
9,20,52.46,комфортно прохладная
9,25,50.99,ощутимо прохладная
9,30,50.99,ощутимо прохладная
9,35,50.99,ощутимо прохладная
9,40,50.99,ощутимо прохладная
9,45,50.99,ощутимо прохладная
9,50,50.99,ощутимо прохладная
9,55,50.99,ощутимо прохладная
9,60,50.99,ощутимо прохладная
9,65,50.99,ощутимо прохладная
9,70,50.99,ощутимо прохладная
9,75,50.99,промозглая
9,80,50.99,промозглая
9,85,50.99,промозглая
9,90,50.99,промозглая
9,95,50.99,промозглая
9,100,50.99,промозглая
10,0,53.06,прохладно-теплая
10,5,53.06,прохладно-теплая
10,10,53.06,прохладно-теплая
10,15,53.06,прохладно-теплая
10,20,53.06,прохладно-теплая
10,25,52.46,комфортная
10,30,52.46,комфортная
10,35,52.46,комфортная
10,40,52.46,комфортная
10,45,52.46,комфортная
10,50,52.46,комфортная
10,55,52.46,комфортная
10,60,52.46,комфортная
10,65,51.24,комфортная
10,70,51.24,душная
10,75,51.24,душная
10,80,51.24,душная
10,85,51.24,душная
10,90,51.24,душная
10,95,51.24,душная
10,100,51.24,душная
